time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,diffuse_radiation,direct_normal_irradiance,precipitation,dew_point_2m,cloud_cover
2020-01-01 00:00:00+00:00,28.9,48.02147,13.1041975,345.0,83.0,677.85547,0.0,16.8,0.0
2020-01-01 01:00:00+00:00,31.3,40.401936,11.165805,577.0,104.0,802.4859,0.0,16.25,2.0
2020-01-01 02:00:00+00:00,34.0,33.181194,9.387651,771.0,131.0,839.6444,0.0,15.55,7.0
2020-01-01 03:00:00+00:00,36.5,26.921803,8.4963045,932.0,138.0,888.9722,0.0,14.45,39.0
2020-01-01 04:00:00+00:00,37.95,25.36122,11.183201,1040.0,130.0,934.94806,0.0,14.75,59.0
2020-01-01 05:00:00+00:00,38.1,26.738317,17.551615,1068.0,133.0,937.61285,0.0,15.7,78.0
2020-01-01 06:00:00+00:00,37.3,21.25103,23.185787,1027.0,132.0,929.16925,0.0,11.5,70.0
2020-01-01 07:00:00+00:00,34.15,40.415977,23.166216,918.0,124.0,908.8147,0.0,18.8,62.0
2020-01-01 08:00:00+00:00,33.65,46.186184,23.664352,749.0,116.0,861.66254,0.0,20.5,37.0
2020-01-01 09:00:00+00:00,33.5,46.004227,23.966375,532.0,102.0,773.97424,0.0,20.3,55.0
2020-01-01 10:00:00+00:00,33.65,46.04394,20.497883,296.0,80.0,619.4434,0.0,20.45,0.0
2020-01-01 11:00:00+00:00,32.65,40.387596,23.688984,82.0,37.0,317.3624,0.0,17.45,16.0
2020-01-01 12:00:00+00:00,29.5,51.308685,23.740902,0.0,0.0,0.0,0.0,18.4,22.0
2020-01-01 13:00:00+00:00,27.9,60.11247,21.897945,0.0,0.0,0.0,0.0,19.45,3.0
2020-01-01 14:00:00+00:00,27.15,63.594536,20.696087,0.0,0.0,0.0,0.0,19.65,3.0
2020-01-01 15:00:00+00:00,26.7,66.93811,19.228851,0.0,0.0,0.0,0.0,20.05,2.0
2020-01-01 16:00:00+00:00,26.4,70.05301,15.986593,0.0,0.0,0.0,0.0,20.5,6.0
2020-01-01 17:00:00+00:00,26.25,70.024895,12.682018,0.0,0.0,0.0,0.0,20.35,6.0
2020-01-01 18:00:00+00:00,26.1,66.40252,12.10157,0.0,0.0,0.0,0.0,19.35,67.0
2020-01-01 19:00:00+00:00,26.1,60.263382,14.007655,0.0,0.0,0.0,0.0,17.8,69.0
2020-01-01 20:00:00+00:00,25.65,60.732025,15.463246,0.0,0.0,0.0,0.0,17.5,71.0
2020-01-01 21:00:00+00:00,24.85,67.19133,16.311613,0.0,0.0,0.0,0.0,18.35,81.0
2020-01-01 22:00:00+00:00,24.45,70.78303,15.978486,3.0,3.0,0.0,0.0,18.8,17.0
2020-01-01 23:00:00+00:00,25.1,67.24175,19.06301,113.0,49.0,387.74918,0.0,18.6,3.0
2020-01-02 00:00:00+00:00,27.3,54.581585,13.004921,334.0,88.0,639.89044,0.0,17.35,0.0
2020-01-02 01:00:00+00:00,29.9,44.756535,7.92,582.0,109.0,804.8898,0.0,16.6,2.0
2020-01-02 02:00:00+00:00,32.55,35.421013,6.4096174,793.0,120.0,884.51965,0.0,15.3,0.0
2020-01-02 03:00:00+00:00,34.6,30.189323,7.289444,956.0,127.0,929.0989,0.0,14.6,2.0
2020-01-02 04:00:00+00:00,35.9,28.921122,12.287555,1056.0,132.0,949.7411,0.0,15.05,10.0
2020-01-02 05:00:00+00:00,36.35,28.30542,17.643673,1084.0,132.0,954.60284,0.0,15.1,15.0
2020-01-02 06:00:00+00:00,37.0,19.097692,18.709612,1016.0,175.0,872.65375,0.0,9.65,47.0
2020-01-02 07:00:00+00:00,38.15,12.131377,18.416384,934.0,129.0,920.48645,0.0,3.95,0.0
2020-01-02 08:00:00+00:00,37.9,18.184422,22.206486,768.0,119.0,882.0631,0.0,9.65,14.0
2020-01-02 09:00:00+00:00,34.9,34.72468,31.259941,545.0,105.0,790.1083,0.0,17.05,33.0
2020-01-02 10:00:00+00:00,32.9,42.540836,32.151043,300.0,84.0,617.0574,0.0,18.5,41.0
2020-01-02 11:00:00+00:00,30.5,52.047497,31.259941,85.0,39.0,322.85892,0.0,19.55,1.0
2020-01-02 12:00:00+00:00,29.0,55.51934,32.37799,0.0,0.0,0.0,0.0,19.2,2.0
2020-01-02 13:00:00+00:00,29.75,46.158314,31.262014,0.0,0.0,0.0,0.0,16.95,0.0
2020-01-02 14:00:00+00:00,28.85,44.471813,30.926493,0.0,0.0,0.0,0.0,15.55,31.0
2020-01-02 15:00:00+00:00,27.35,48.68927,30.551254,0.0,0.0,0.0,0.0,15.6,49.0
2020-01-02 16:00:00+00:00,26.4,49.382122,27.897097,0.0,0.0,0.0,0.0,14.95,47.0
2020-01-02 17:00:00+00:00,25.9,46.00673,29.655787,0.0,0.0,0.0,0.0,13.4,63.0
2020-01-02 18:00:00+00:00,24.75,51.388794,30.54701,0.0,0.0,0.0,0.0,14.05,17.0
2020-01-02 19:00:00+00:00,23.8,56.370068,30.413074,0.0,0.0,0.0,0.0,14.6,71.0
2020-01-02 20:00:00+00:00,23.35,54.10999,29.934166,0.0,0.0,0.0,0.0,13.55,77.0
2020-01-02 21:00:00+00:00,22.85,52.76091,31.731092,0.0,0.0,0.0,0.0,12.7,70.0
2020-01-02 22:00:00+00:00,22.65,51.005096,31.353085,3.0,3.0,0.0,0.0,12.0,16.0
2020-01-02 23:00:00+00:00,23.8,43.658237,33.839996,113.0,48.0,399.40463,0.0,10.7,30.0
2020-01-03 00:00:00+00:00,25.65,38.70146,34.217045,332.0,90.0,632.9399,0.0,10.55,16.0
2020-01-03 01:00:00+00:00,27.0,36.70008,31.698402,317.0,234.0,141.66708,0.0,10.95,94.0
2020-01-03 02:00:00+00:00,29.55,31.638908,31.012281,550.0,306.0,321.26694,0.0,10.95,65.0
2020-01-03 03:00:00+00:00,32.6,25.89121,30.54701,913.0,185.0,816.73663,0.0,10.55,12.0
2020-01-03 04:00:00+00:00,34.8,21.994427,28.664682,1038.0,136.0,927.5311,0.0,9.95,0.0
2020-01-03 05:00:00+00:00,36.35,19.78956,27.067116,1070.0,132.0,940.51215,0.0,9.65,0.0
2020-01-03 06:00:00+00:00,37.45,18.386183,26.121714,1028.0,130.0,931.32355,0.0,9.45,0.0
2020-01-03 07:00:00+00:00,37.9,17.524286,26.64,919.0,125.0,907.0196,0.0,9.1,0.0
2020-01-03 08:00:00+00:00,37.75,16.965961,27.869207,751.0,117.0,860.36096,0.0,8.5,0.0
2020-01-03 09:00:00+00:00,37.4,16.100733,28.19285,538.0,103.0,779.34265,0.0,7.45,0.0
2020-01-03 10:00:00+00:00,36.55,15.58689,27.397867,303.0,82.0,628.9997,0.0,6.3,0.0
2020-01-03 11:00:00+00:00,35.1,15.809253,24.693481,86.0,38.0,335.34506,0.0,5.35,0.0
2020-01-03 12:00:00+00:00,32.9,17.7509,27.852928,0.0,0.0,0.0,0.0,5.25,0.0
2020-01-03 13:00:00+00:00,31.75,18.876688,29.379177,0.0,0.0,0.0,0.0,5.2,0.0
2020-01-03 14:00:00+00:00,31.3,17.314707,29.487053,0.0,0.0,0.0,0.0,3.6,0.0
2020-01-03 15:00:00+00:00,26.75,33.01967,34.32105,0.0,0.0,0.0,0.0,9.15,0.0
2020-01-03 16:00:00+00:00,25.7,36.333786,31.435646,0.0,0.0,0.0,0.0,9.65,0.0
2020-01-03 17:00:00+00:00,25.1,36.408615,31.072817,0.0,0.0,0.0,0.0,9.15,0.0
2020-01-03 18:00:00+00:00,25.1,32.00413,30.096085,0.0,0.0,0.0,0.0,7.25,0.0
2020-01-03 19:00:00+00:00,25.25,26.87606,29.195534,0.0,0.0,0.0,0.0,4.85,0.0
